Raw Data File,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,160139,Glyc_13C4,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,19652,Glyc_13C5,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,16704,Glyc_13C6,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,3714,,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,4562771,Glyc_13C0,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,741265,Glyc_13C1,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,2919742,Glyc_13C2,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,397099,Glyc_13C3,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,109987,Glyc_13C4,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,12962,Glyc_13C5,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,11290,Glyc_13C6,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,3970,,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,5564173,Glyc_13C0,
